title,company,location,link
Coordonnateur – Soutien commercial,Air Canada,Hong Kong,https://hk.indeed.com/viewjob?jk=8939878b58115a3a&q=python&l=Hong+Kong
Asia Quantitative Equity Research Associate,Morgan Stanley,Hong Kong,https://hk.indeed.com/viewjob?jk=a0f1e917df503d17&q=python&l=Hong+Kong
Software Engineer - Algorithmic Trading,Millennium Management LLC,Hong Kong,https://hk.indeed.com/viewjob?jk=20157db0b7ef306f&q=python&l=Hong+Kong
Senior Quant Researcher | High Frequency Delta 1,Eclipse Trading,Hong Kong,https://hk.indeed.com/viewjob?jk=85aa790027ce91a6&q=python&l=Hong+Kong
Sales Trader,BNP Paribas,Hong Kong,https://hk.indeed.com/viewjob?jk=f1ed3a03a6a768fe&q=python&l=Hong+Kong
C++ Algo Trading Developer,Alpha Quant Fin-Tech Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=8c4d055b87402e6c&q=python&l=Hong+Kong
Algo QA Specialist,BNP Paribas,Hong Kong,https://hk.indeed.com/viewjob?jk=bddbdbbc83e87618&q=python&l=Hong+Kong
Front Office Developer,Zebra Strategic Outsource Solutions,Kowloon,https://hk.indeed.com/viewjob?jk=f9c696f078b870a3&q=python&l=Hong+Kong
Crypto Quantitative Trader,Nautilus Technology,Hong Kong,https://hk.indeed.com/viewjob?jk=2c010b8e1306aadc&q=python&l=Hong+Kong
Quant Trader (Strategist),Babel Asia Asset Management Pte Ltd,Hong Kong,https://hk.indeed.com/viewjob?jk=d963f097c7c0534a&q=python&l=Hong+Kong
"Portfolio Manager, Quant Strategies",Millennium Management LLC,Hong Kong,https://hk.indeed.com/viewjob?jk=8c5360841b222309&q=python&l=Hong+Kong
Low Latency Trading Platform – Technical Engineer,UBS,Hong Kong,https://hk.indeed.com/viewjob?jk=248959624bec9976&q=python&l=Hong+Kong
Quantitative Trading Analyst,Nautilus Technology,Hong Kong,https://hk.indeed.com/viewjob?jk=3a0e006eafb1fbb1&q=python&l=Hong+Kong
"Site Reliability Engineer, Electronic Trading, Equities, VP","JPMorgan Chase Bank, N.A.",Hong Kong,https://hk.indeed.com/viewjob?jk=75f0508e47386598&q=python&l=Hong+Kong
"Fixed Income Data Analyst/Quant, Global Markets Department",Industrial and Commercial Bank of China (Asia) Ltd,Hong Kong,https://hk.indeed.com/viewjob?jk=e8fa43ab8bb734ae&q=python&l=Hong+Kong
"Options Trader, Derivative Trading - Global Fintech Startup",Crypto.com,Hong Kong,https://hk.indeed.com/viewjob?jk=13c8ae8ca87e4ae8&q=python&l=Hong+Kong
VIE - Risk Management H/F,Amundi Hong Kong,Hong Kong,https://hk.indeed.com/viewjob?jk=2ff7a8204b28caa0&q=python&l=Hong+Kong
"AVP, Quant Modeller - Financial Engineering",Credit Suisse,Hong Kong,https://hk.indeed.com/viewjob?jk=6a2694e2d2be58e8&q=python&l=Hong+Kong
Production Support Specialist - Digital Business Services,HSBC,"Sha Tin, New Territories",https://hk.indeed.com/viewjob?jk=f3f60a0a7495a45c&q=python&l=Hong+Kong
APAC E-Trading Platform - Senior Algorithmic Trading & Dark...,Credit Suisse,Hong Kong,https://hk.indeed.com/viewjob?jk=f4c88cf5fad8c90e&q=python&l=Hong+Kong
Vice President – Market Data (Project Management),Hong Kong Exchange,Hong Kong,https://hk.indeed.com/viewjob?jk=b29ec54801e4baac&q=python&l=Hong+Kong
Junior Global Markets Financing Risk Manager,UBS,Hong Kong,https://hk.indeed.com/viewjob?jk=0854e39e40afdbce&q=python&l=Hong+Kong
"Associate / Vice President, Credit E-Trading Quant Strat, Ho...",Bank of America,Hong Kong Island,https://hk.indeed.com/viewjob?jk=a80fff6f478467bc&q=python&l=Hong+Kong
"Director, Structuring",Standard Chartered,Hong Kong,https://hk.indeed.com/viewjob?jk=3f0d78a6e4802dad&q=python&l=Hong+Kong
CIB - Quantitative Research - Equity Derivatives - Vice Pres...,"JPMorgan Chase Bank, N.A.",Hong Kong,https://hk.indeed.com/viewjob?jk=d228279caa9d59d8&q=python&l=Hong+Kong
Equity Technology: Assistant Vice President / Vice President...,Bank of America,Hong Kong,https://hk.indeed.com/viewjob?jk=6866e3ef2eb14eca&q=python&l=Hong+Kong
Equities Facilitation and CRB Trader - Global Banking & Mark...,HSBC,"Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=c10ecd0f3a496c4f&q=python&l=Hong+Kong
C++ developer :Algorithmic Trading / Market-Making / High Fr...,BAH Partners,Hong Kong,https://hk.indeed.com/viewjob?jk=ca1a4f9ca342edb9&q=python&l=Hong+Kong
Equity Derivatives Tech Architect,UBS,Hong Kong,https://hk.indeed.com/viewjob?jk=0036552875cd1f2a&q=python&l=Hong+Kong
"Systematic Trading Team Lead, Derivative Trading - Global Fi...",Crypto.com,Hong Kong,https://hk.indeed.com/viewjob?jk=d5761272666f1d60&q=python&l=Hong+Kong
Dev Ops SRE - Trading Technology - Trade Floor Support - VP,"JPMorgan Chase Bank, N.A.",Hong Kong,https://hk.indeed.com/viewjob?jk=b1c4b710c0abe998&q=python&l=Hong+Kong
FPGA Engineer,Saccade Capital,Hong Kong,https://hk.indeed.com/viewjob?jk=98c6f400cc5c198b&q=python&l=Hong+Kong
Dapp Engineer,Crypto.com,Hong Kong,https://hk.indeed.com/viewjob?jk=95887b66cdacd63f&q=python&l=Hong+Kong
Software Engineer - Java (Quant Platform - Trading Services),OKX,Hong Kong,https://hk.indeed.com/viewjob?jk=c618f1799df592cd&q=python&l=Hong+Kong
Software Engineer,"Jefferies & Company, Inc.",Hong Kong,https://hk.indeed.com/viewjob?jk=8159fecb3b5e0e6d&q=python&l=Hong+Kong
"Associate/Vice President, SBL Trader, Global Equities",Bank of America,Hong Kong Island,https://hk.indeed.com/viewjob?jk=1dc19cf4314b9ab7&q=python&l=Hong+Kong
"Data Analytics and Engineering Python Developer, Equities Pr...","JPMorgan Chase Bank, N.A.",Hong Kong,https://hk.indeed.com/viewjob?jk=d490de4fd378ecbd&q=python&l=Hong+Kong
Quant Researcher (Options),Radley James,Hong Kong,https://hk.indeed.com/viewjob?jk=7b5b01e64355a2aa&q=python&l=Hong+Kong
Risk Manager - Quant / Cryptocurrency / Fintech,Williamselect,Hong Kong,https://hk.indeed.com/viewjob?jk=d645a4af1ec8a20e&q=python&l=Hong+Kong
Quantitative Developer (Hedge Fund) (Ref: QDHF/JH),Crossings Executive Search,Hong Kong,https://hk.indeed.com/viewjob?jk=f8613bcb4652d3c3&q=python&l=Hong+Kong
Trading Systems Support Analyst - Option Market Making,BAH Partners,Hong Kong,https://hk.indeed.com/viewjob?jk=102b76aba8c89eea&q=python&l=Hong+Kong
"Associate Director, Asia Execution Quant - Global Banking an...",HSBC,"Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=4b23aa0e7c4c689a&q=python&l=Hong+Kong
Fixed Income Risk Manager,Millennium Management LLC,Hong Kong,https://hk.indeed.com/viewjob?jk=9da2750d6c5ea6c5&q=python&l=Hong+Kong
CIB - APAC Program Trader - Vice President,"JPMorgan Chase Bank, N.A.",Hong Kong,https://hk.indeed.com/viewjob?jk=b3abfa58cff0356e&q=python&l=Hong+Kong
"VP, Quant Engineering Group",Credit Suisse,Hong Kong,https://hk.indeed.com/viewjob?jk=e52aaf6f8aa3edd4&q=python&l=Hong+Kong
Cash Equities Algorithmic Trading Developer,Macquarie Group Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=8d3cb12b8091ca08&q=python&l=Hong+Kong
KDB Developer,eTeam APAC,Hong Kong,https://hk.indeed.com/viewjob?jk=8d79f413e266b7b3&q=python&l=Hong+Kong
"Desk Quant, Derivative Trading - Global Fintech startup",Crypto.com,Hong Kong,https://hk.indeed.com/viewjob?jk=6a0528bbae015a36&q=python&l=Hong+Kong
CRM Data Analyst - Global Fintech Startup,Crypto.com,Hong Kong,https://hk.indeed.com/viewjob?jk=1e03864d15c17a41&q=python&l=Hong+Kong
"Algo Developer, VP","JPMorgan Chase Bank, N.A.",Hong Kong,https://hk.indeed.com/viewjob?jk=6d0a842dfd63cdc3&q=python&l=Hong+Kong
"Quant Developer (blockchain, web 3)",Randstad,Hong Kong,https://hk.indeed.com/viewjob?jk=f4467695d3786c37&q=python&l=Hong+Kong
Front Office Technical Leader,Société Générale,Hong Kong,https://hk.indeed.com/viewjob?jk=6724351d1e7f59eb&q=python&l=Hong+Kong
Onsite with HSBC : Development engineer - Python (6m contrac...,Manpower,Hong Kong,https://hk.indeed.com/viewjob?jk=871d1d0ad74e302b&q=python&l=Hong+Kong
Senior Developer,Barclays,"Central and Western District, Hong Kong Island",https://hk.indeed.com/viewjob?jk=9af0ce86d52bf0b7&q=python&l=Hong+Kong
"Senior Manager, Quantitative Risk Management",Bowen Partners,Hong Kong,https://hk.indeed.com/viewjob?jk=5a890f58234778c5&q=python&l=Hong+Kong
KDB developer - Digital Business Services,HSBC,"Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=aa55fb7bef4306f5&q=python&l=Hong+Kong
"Equities Java Developer, Automated Risk Trading, Associate",Morgan Stanley,Hong Kong,https://hk.indeed.com/viewjob?jk=aa6b4f214a7d94f0&q=python&l=Hong+Kong
"Associate Director, XVA trading, APAC - Global Banking and M...",HSBC,"Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=fb44880f35c87849&q=python&l=Hong+Kong
2022 Summer Internship Programme (HK),Hex Trust,"Remote in Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=fe82d0357697a128&q=python&l=Hong+Kong
Senior Pricing Platform Software Engineer,UBS,Hong Kong,https://hk.indeed.com/viewjob?jk=76aeefcab6d1d6b3&q=python&l=Hong+Kong
IB Tech - QA Engineer - Associate/AVP,Deutsche Bank,Hong Kong,https://hk.indeed.com/viewjob?jk=59faa807771544a8&q=python&l=Hong+Kong
Quant Developer(Python),Morgan Philips Executive Search,Hong Kong,https://hk.indeed.com/viewjob?jk=ec293e5aa33e5d57&q=python&l=Hong+Kong
Global Quantitative Strategies | DevOps Engineer,CITADEL ENTERPRISE EUROPE LIMITED,Hong Kong,https://hk.indeed.com/viewjob?jk=0f4ce07a7cb93a66&q=python&l=Hong+Kong
OJ Ability - Senior Actuarial analyst,Oliver James Associates,Hong Kong,https://hk.indeed.com/viewjob?jk=06477cc54032a1c4&q=python&l=Hong+Kong
HF Stat-Arb Quant Trader,TMJ Partners,Hong Kong,https://hk.indeed.com/viewjob?jk=d318e2000fc49542&q=python&l=Hong+Kong
Java Software Engineer,Eclipse Trading,Hong Kong,https://hk.indeed.com/viewjob?jk=8609ddf98ffe84bb&q=python&l=Hong+Kong
"Associate Director, Quantitative Analyst - Global Banking an...",HSBC,"Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=2529fb252bd54ad6&q=python&l=Hong+Kong
"Associate Director, Strats - Commercial Banking",HSBC,"Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=c5e9c058b0bebf65&q=python&l=Hong+Kong
"Analyst/ Associate â€“ Equity Derivatives Strategist, Global...",Bank of America,Hong Kong Island,https://hk.indeed.com/viewjob?jk=9cd177b4a0d2b78d&q=python&l=Hong+Kong
Senior Java Developer,Barclays,"Central and Western District, Hong Kong Island",https://hk.indeed.com/viewjob?jk=ec64e9e55c0a52b4&q=python&l=Hong+Kong
Associate / Associate Director - Cost Management - Public Se...,KITE Search,Hong Kong,https://hk.indeed.com/viewjob?jk=1b30bcaf9b3ec429&q=python&l=Hong+Kong
"Delta One Trader, AVP/VP",Citi,"Central and Western District, Hong Kong Island",https://hk.indeed.com/viewjob?jk=b90e4a6bf1fa3548&q=python&l=Hong+Kong
Java Developer (Algo Trading Platform),Walters People Hong Kong,Hong Kong,https://hk.indeed.com/viewjob?jk=3b83bc614d5efe89&q=python&l=Hong+Kong
"Product Analytics Manager, Consumer Banking",Conners Consulting,"Kwun Tong District, Kowloon",https://hk.indeed.com/viewjob?jk=1ab26c974bc403b4&q=python&l=Hong+Kong
Algorithmic Trading Development Lead,CXC Global,Hong Kong,https://hk.indeed.com/viewjob?jk=8f4637a6f072d9af&q=python&l=Hong+Kong
(Senior) Security Engineer,Bowtie Life Insurance Company Limited,Remote in Hong Kong,https://hk.indeed.com/viewjob?jk=07a9b7c1a388069f&q=python&l=Hong+Kong
Senior Software Trading System Developer,Match Talent,Hong Kong,https://hk.indeed.com/viewjob?jk=24ac19a4f21f565a&q=python&l=Hong+Kong
Low Latency C++ Engineer,Eclipse Trading,Hong Kong,https://hk.indeed.com/viewjob?jk=4ee68fb06425f40e&q=python&l=Hong+Kong
Senior Crypto Quant Developer,TMJ Partners,Hong Kong,https://hk.indeed.com/viewjob?jk=ee3ffe576e2b8689&q=python&l=Hong+Kong
Java Developer (Algo Trading Platform),Robert Walters,Hong Kong,https://hk.indeed.com/viewjob?jk=7ffab5f05abaeee2&q=python&l=Hong+Kong
Quantitative Modeler / Data Scientist,Macquarie Group Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=b8dc27d5ce8e4d3f&q=python&l=Hong+Kong
Senior Research Analyst - Global Private Banking,HSBC,"Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=bc3d9e81cbb8e7ec&q=python&l=Hong+Kong
SOR C++ Developer,Credit Suisse,Hong Kong,https://hk.indeed.com/viewjob?jk=f312a656a238375f&q=python&l=Hong+Kong
Associate Director (Cost Manager) Global Consultancy,KITE Search,Hong Kong,https://hk.indeed.com/viewjob?jk=4ccef4bb92670f8c&q=python&l=Hong+Kong
VP - Distressed Debt Credit Analyst,Citi,"Central and Western District, Hong Kong Island",https://hk.indeed.com/viewjob?jk=2f1f534b04219898&q=python&l=Hong+Kong
"Director, Credit Risk - Hedge Funds",Charterhouse-HK,Hong Kong Island,https://hk.indeed.com/viewjob?jk=1911b6dd4ad99651&q=python&l=Hong+Kong
Junior Dapp Engineer,Crypto.com,Hong Kong,https://hk.indeed.com/viewjob?jk=a9c368fe0dc13b98&q=python&l=Hong+Kong
Java Developer (Algo Trading Platform),Walters People,Hong Kong,https://hk.indeed.com/viewjob?jk=8cad6c5772fdeb86&q=python&l=Hong+Kong
Senior Algo Developer (C++),Hays,Hong Kong,https://hk.indeed.com/viewjob?jk=dea6e63812a848d6&q=python&l=Hong+Kong
Valuation Control - VP (C++/ Python) | Tier 1 Investment Ban...,Randstad,Hong Kong,https://hk.indeed.com/viewjob?jk=5594b42c86724fae&q=python&l=Hong+Kong
C++ Developer (Global Trading System),Linkers International,"Sha Tin, New Territories",https://hk.indeed.com/viewjob?jk=e4fcbc8ad8cf4892&q=python&l=Hong+Kong
"Senior Quant Trader, Derivative Trading - Global Fintech sta...",Crypto.com,Hong Kong,https://hk.indeed.com/viewjob?jk=e4be4c18fd093cd8&q=python&l=Hong+Kong
FX Senior Java Application Developer,eTeam APAC,Hong Kong,https://hk.indeed.com/viewjob?jk=564b6e43be58cef1&q=python&l=Hong+Kong
"Senior Software Engineer, Investment Science Technology (APA...",Wellington Management,"Remote in Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=663bd3338adfbe7a&q=python&l=Hong+Kong
"ANALYST / SENIOR ANALYST, QUANTITATIVE INVESTMENT SOLUTION",SUPER Corporate Consultancy Group,"Central and Western District, Hong Kong Island",https://hk.indeed.com/viewjob?jk=af412d0e6dbf53b2&q=python&l=Hong+Kong
(Junior) Quant Developer - Hedge Fund,Links International,None,https://hk.jobsdb.com/hk/en/job/junior-quant-developer-hedge-fund-100003009365361?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=1&jobId=jobsdb-hk-job-100003009365361
Data Analytics / Quant Developer,Ucollex International Limited,Wan Chai,https://hk.jobsdb.com/hk/en/job/data-analytics-quant-developer-100003009365604?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=2&jobId=jobsdb-hk-job-100003009365604
(Junior) Quant Developer - Hedge Fund,Links International,None,https://hk.jobsdb.com/hk/en/job/junior-quant-developer-hedge-fund-100003009351277?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=3&jobId=jobsdb-hk-job-100003009351277
(Junior) Quant Developer - Asset Management,Links International,None,https://hk.jobsdb.com/hk/en/job/junior-quant-developer-asset-management-100003009352467?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=4&jobId=jobsdb-hk-job-100003009352467
"Quant Developer (blockchain, web 3)",Randstad Hong Kong Limited,None,https://hk.jobsdb.com/hk/en/job/quant-developer-blockchain-web-3-100003009337222?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=5&jobId=jobsdb-hk-job-100003009337222
Major Bank : Quant Developer,IT Solutions Ltd.,None,https://hk.jobsdb.com/hk/en/job/major-bank-%3A-quant-developer-100003009344016?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=6&jobId=jobsdb-hk-job-100003009344016
Quantitative Researcher / Senior Quantitative Researcher (kdb+/q developer),Bank of China (Hong Kong) Limited,Central,https://hk.jobsdb.com/hk/en/job/quantitative-researcher-senior-quantitative-researcher-kdb-q-developer-100003009356889?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=7&jobId=jobsdb-hk-job-100003009356889
"Director, Desk Quant - (2200010837)",Standard Chartered Bank (Hong Kong) Ltd,None,https://hk.jobsdb.com/hk/en/job/director-desk-quant-2200010837-100003009341673?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=8&jobId=jobsdb-hk-job-100003009341673
C++ Low Latency Engineer,Eclipse Trading,Others - China,https://hk.jobsdb.com/hk/en/job/c-low-latency-engineer-100003009361036?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=9&jobId=jobsdb-hk-job-100003009361036
Quantitative Researcher / Senior Quantitative Researcher (kdb+/q developer),Bank of China (Hong Kong) Limited,Central,https://hk.jobsdb.com/hk/en/job/quantitative-researcher-senior-quantitative-researcher-kdb-q-developer-100003009350558?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=10&jobId=jobsdb-hk-job-100003009350558
"Programmer (C# ,C++, .NET)",CASH Algo Finance Group Limited,Shatin Area,https://hk.jobsdb.com/hk/en/job/programmer-c-c-.net-100003009369022?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=11&jobId=jobsdb-hk-job-100003009369022
Quantitative Analyst - Global Investment Management Firm,Page Personnel,None,https://hk.jobsdb.com/hk/en/job/quantitative-analyst-global-investment-management-firm-100003009365971?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=12&jobId=jobsdb-hk-job-100003009365971
Quantitative Researcher - attractive salary!,Vegasoul Capital Management (Asia) Limited,None,https://hk.jobsdb.com/hk/en/job/quantitative-researcher-attractive-salary!-100003009350589?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=13&jobId=jobsdb-hk-job-100003009350589
RAsst / RAssoc / Post-doctoral Fellow (Machine Learning and Quantitative Investment) (Job ID: 7495),The Hong Kong University of Science and Technology,Sai Kung,https://hk.jobsdb.com/hk/en/job/rasst-rassoc-post-doctoral-fellow-machine-learning-and-quantitative-investment-job-id%3A-7495-100003009358442?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=14&jobId=jobsdb-hk-job-100003009358442
C++ Developer (Global Trading System),Eddid Fintech Limited,Admiralty,https://hk.jobsdb.com/hk/en/job/c-developer-global-trading-system-100003009364145?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=15&jobId=jobsdb-hk-job-100003009364145
Software Development Specialist,Colt Technology Services Limited,None,https://hk.jobsdb.com/hk/en/job/software-development-specialist-100003009369861?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=16&jobId=jobsdb-hk-job-100003009369861
Team Lead - Senior Low Latency C++ Engineer (Sydney),Eclipse Options (HK) Limited,Overseas,https://hk.jobsdb.com/hk/en/job/team-lead-senior-low-latency-c-engineer-sydney-100003009361040?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=17&jobId=jobsdb-hk-job-100003009361040
Quantitative Researcher / Senior Quantitative Researcher(Data focus),Bank of China (Hong Kong) Limited,None,https://hk.jobsdb.com/hk/en/job/quantitative-researcher-senior-quantitative-researcher-data-focus-100003009339894?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=18&jobId=jobsdb-hk-job-100003009339894
AREIX – Quantitative Analyst (Crypto),Areix Analytics Limited,Wong Tai Sin Area,https://hk.jobsdb.com/hk/en/job/areix-quantitative-analyst-crypto-100003009350101?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=19&jobId=jobsdb-hk-job-100003009350101
Risk Manager - Quant (Cryptocurrency / Fintech),WilliamSELECT,None,https://hk.jobsdb.com/hk/en/job/risk-manager-quant-cryptocurrency-fintech-100003009329502?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=20&jobId=jobsdb-hk-job-100003009329502
Quantitative Researcher / Senior Quantitative Researcher (kdb+/q developer),Manpower Services (Hong Kong) Limited,Central & Western Area,https://hk.jobsdb.com/hk/en/job/quantitative-researcher-senior-quantitative-researcher-kdb-q-developer-100003009330636?token=0~00ff707e-86d6-4b9d-9d32-50d4062f8445&sectionRank=21&jobId=jobsdb-hk-job-100003009330636
